kodOrganizacie,nazovOrganizacie,kodNadurovne,kategoria,2015,2016,2017,2018,2019,2020,2021
507326,Merašice,800203,DLH,,,0.0,0.0,0.0,8048.0,8048.0
507415,Pastuchov,800203,DLH,,,0.0,0.0,0.0,0.0,0.0
507521,Sasinkovo,800203,DLH,,,0.0,0.0,0.0,0.0,5.37
507539,Siladice,800203,DLH,,,0.0,0.0,0.0,11477.0,11477.0
507661,Trakovice,800203,DLH,,,0.0,0.0,0.0,34921.0,34921.0
507792,Žlkovce,800203,DLH,,,0.0,0.0,0.0,15425.0,15425.0
518620,Ratkovce,800203,DLH,,,0.0,0.0,0.0,4111.0,108568.11
556521,Dolné Zelenice,800203,DLH,,,0.0,98374.71,0.0,13598.0,13598.0
556530,Horné Zelenice,800203,DLH,,,0.0,100000.0,89992.0,89984.0,79976.0
556602,Horné Trhovište,800203,DLH,43765.0,74717.88,65005.0,48176.0,91657.72,35283.72,20721.35
556611,Tekolďany,800203,DLH,,,0.0,0.0,0.0,1668.0,1668.0
556645,Tepličky,800203,DLH,16253.0,13545.0,10837.0,8129.0,5421.0,2713.0,0.0
506834,Borovce,800204,DLH,4302.96,,0.0,0.0,100000.0,102217.0,101092.0
506982,Dolný Lopašov,800204,DLH,,,0.0,0.0,0.0,18525.0,18525.0
506991,Drahovce,800204,DLH,267407.64,251530.0,216549.0,339987.49,284987.49,275448.49,220448.49
507008,Dubovany,800204,DLH,37000.0,140500.0,174500.0,82000.0,56000.0,32000.0,8000.0
507121,Chtelnica,800204,DLH,0.0,,0.0,96345.65,79905.65,356813.65,571001.65
507199,Kočín-Lančár,800204,DLH,28361.41,26361.01,24361.42,71566.01,20361.01,9487.0,9487.0
507229,Krakovany,800204,DLH,,,0.0,0.0,75580.57,86594.57,27574.0
507342,Moravany nad Váhom,800204,DLH,22476.0,22476.0,34476.0,34476.0,65388.0,115326.0,115326.0
507369,Nižná,800204,DLH,94597.71,,0.0,0.0,0.0,12856.0,12856.0
507385,Ostrov,800204,DLH,89560.0,74340.0,59208.0,44076.0,0.0,21384.0,21384.0
507431,Pečeňady,800204,DLH,,,0.0,0.0,0.0,0.0,0.0
507440,Piešťany,800204,DLH,4068420.96,3141662.27,3592295.05,4253708.17,3921444.51,5013052.93,5347583.01
507466,Prašník,800204,DLH,,,0.0,98219.68,0.0,14761.0,14761.0
507482,Rakovice,800204,DLH,37621.29,16148.55,0.0,0.0,0.0,17501.0,17501.0
507491,Ratnovce,800204,DLH,,,0.0,0.0,0.0,0.0,0.0
507563,Sokolovce,800204,DLH,15705.0,61293.66,44160.66,34152.66,24144.66,39349.66,29341.66
507679,Trebatice,800204,DLH,123395.0,149707.0,116499.0,78531.0,122406.63,433862.0,388466.0
507709,Veľké Kostoľany,800204,DLH,88214.44,,272156.76,383800.0,284200.0,239031.98,139431.0
507725,Veselé,800204,DLH,69000.0,57000.0,45000.0,33000.0,21000.0,29000.0,20000.0
507750,Vrbové,800204,DLH,168404.7,455271.8,398301.25,356719.93,865140.17,1018087.29,938366.0
556548,Šterusy,800204,DLH,,,0.0,0.0,0.0,9190.0,9190.0
556572,Veľké Orvište,800204,DLH,,,0.0,0.0,0.0,17176.0,17176.0
556581,Hubina,800204,DLH,,,1824.51,0.0,0.0,0.0,0.0
558338,Ducové,800204,DLH,,,0.0,92691.18,0.0,8813.0,8813.0
558354,Bašovce,800204,DLH,,,0.0,0.0,0.0,7404.0,7404.0
558397,Šípkové,800204,DLH,,377.73,43.13,48834.2,0.0,6835.0,6835.0
581399,Banka,800204,DLH,0.0,30000.0,30000.0,30000.0,30000.0,105853.0,105853.0
504203,Senica,800205,DLH,3827499.03,3874919.8,3744887.02,3977919.02,3581567.02,4604071.02,3268863.02
504211,Bílkove Humence,800205,DLH,9974.74,8974.74,8974.74,9834.45,11267.25,18281.1,16281.1
504220,Borský Svätý Jur,800205,DLH,,,0.0,0.0,0.0,29902.0,29902.0
504238,Borský Mikuláš,800205,DLH,537409.29,521476.17,501559.77,482451.94,461726.97,517719.57,497803.17
504297,Cerová,800205,DLH,,,0.0,0.0,0.0,0.0,200000.0
504319,Čáry,800205,DLH,,,0.0,0.0,0.0,0.0,0.0
504327,Častkov,800205,DLH,359187.77,322574.43,294171.27,265768.11,237364.95,208961.79,180558.63
504335,Dojč,800205,DLH,0.0,,0.0,0.0,0.0,26599.0,90109.28
504360,Hlboké,800205,DLH,109986.27,87551.79,64685.12,41459.93,17903.97,15915.0,15915.0
504386,Hradište pod Vrátnom,800205,DLH,174933.47,148933.79,124434.11,100504.32,193400.32,68331.32,45999.32
504416,Jablonica,800205,DLH,155740.39,138736.39,121732.39,104728.39,87728.27,113634.39,96630.39
504475,Koválov,800205,DLH,71798.3,59848.46,47898.62,35948.78,23998.94,24526.1,12477.0
504491,Kuklov,800205,DLH,14570.43,9428.07,4285.71,0.0,0.0,0.0,0.0
504513,Kúty,800205,DLH,338230.21,286690.21,308117.78,784426.45,683624.49,672578.52,571776.56
504521,Lakšárska Nová Ves,800205,DLH,,,0.0,0.0,0.0,23757.0,23757.0
504572,Moravský Svätý Ján,800205,DLH,0.0,257629.21,0.0,257629.21,321739.22,348808.17,348808.17
504602,Osuské,800205,DLH,37335.84,18050.85,18050.85,18050.85,18050.85,17851.31,17851.31
504645,Plavecký Peter,800205,DLH,,,0.0,0.0,0.0,11814.0,11814.0
504653,Podbranč,800205,DLH,14133.9,10672.38,7210.86,3749.34,287.82,22595.92,30868.0
504700,Prietrž,800205,DLH,26000.0,,0.0,0.0,47800.0,47243.0,34043.0
504726,Prievaly,800205,DLH,40008.0,55892.42,29800.0,0.0,0.0,18222.0,18222.0
504777,Rovensko,800205,DLH,22496.35,14867.83,70058.88,71234.61,62253.55,60590.78,49919.06
504823,Smolinské,800205,DLH,,,0.0,0.0,0.0,0.0,0.0
504831,Smrdáky,800205,DLH,,,0.0,0.0,0.0,0.0,0.0
504840,Sobotište,800205,DLH,,,-0.03,-0.03,0.0,30423.99,159750.81
504882,Šajdíkove Humence,800205,DLH,128377.38,117013.1,105238.55,93133.7,80844.2,34711.55,66926.03
504891,Šaštín-Stráže,800205,DLH,1418467.14,480846.44,158021.48,353416.11,289569.25,494541.85,752550.75
504904,Štefanov,800205,DLH,22680.0,247782.75,210558.75,178334.75,141111.33,103886.75,67856.0
556114,Sekule,800205,DLH,,,0.0,0.0,0.0,47485.0,47485.0
556122,Rohov,800205,DLH,18762.95,15655.98,15655.98,10745.55,10745.55,21038.92,21038.92
556131,Rybky,800205,DLH,24976.56,0.0,0.0,101015.63,0.0,55000.0,25000.0
504271,Brodské,800206,DLH,148586.86,110959.0,88003.0,65047.0,42091.0,500000.0,449996.0
504343,Dubovce,800206,DLH,,,0.0,0.0,0.0,0.0,41117.0
504351,Gbely,800206,DLH,825353.21,674589.31,1247998.13,1260723.46,1260696.14,699172.75,514865.65
504378,Holíč,800206,DLH,4590612.94,2493014.76,2514550.05,2334973.13,2893905.21,3052845.26,2840268.32
504394,Chropov,800206,DLH,2600.0,,0.0,0.0,13336.0,3340.0,0.0
504432,Kátov,800206,DLH,,,0.0,0.0,0.0,37000.0,89992.0
504459,Kopčany,800206,DLH,42269.0,28193.0,14129.6,0.0,0.0,0.0,250000.0
504483,Koválovec,800206,DLH,15289.2,15939.2,20604.23,21553.45,17953.45,14353.5,20203.5
504530,Letničie,800206,DLH,,,0.0,0.0,0.0,9117.0,9117.0
504548,Lopašov,800206,DLH,76882.65,76882.65,76882.65,76882.65,76882.65,84582.65,109582.65
504564,Mokrý Háj,800206,DLH,217943.0,209303.0,219883.0,304780.46,358823.5,368823.5,415106.0
504599,Oreské,800206,DLH,73589.56,66197.29,58674.17,50978.75,43117.66,35086.2,67906.32
